Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
09/02/2022,DODG,LL,,WHI,CA46846,IL,10300 S. Doty,(773) 568-8495,2937191
08/17/2022,HYUN,4D,,MAR,V780940,IL,10300 S. Doty,(773) 568-8495,2936567
09/02/2022,INFI,4D,,SIL,CG36076,IL,10300 S. Doty,(773) 785-9752,1723606
08/17/2022,KIA,4D,,GRY,CE25320,IL,10300 S. Doty,(773) 568-8495,2936561
08/11/2022,ZCZY,MC,,BLU,,IL,701 N. Sacramento,(773) 265-7605,7037025
09/08/2022,KIA,4D,,BLK,CS90144,IL,10300 S. Doty,(773) 568-8495,2937491
08/07/2022,MAZD,4D,,SIL,BX43105,IL,400 E. Lower Wacker,(312) 744-7550,0263386
08/17/2022,CHEV,4D,,BLK,CF47219,IL,10300 S. Doty,(773) 568-8495,2936563
08/30/2022,HOND,4D,,WHI,Y747257,IL,701 N. Sacramento,(773) 265-7605,7038245
08/17/2022,CHEV,VN,,GRN,00271727,IL,10300 S. Doty,(773) 568-8495,2936565
09/25/2022,KIA,4D,,BLU,BLS695,KY,701 N. Sacramento,(773) 265-7605,7040159
09/02/2022,DODG,4D,,SIL,CU14223,IL,10300 S. Doty,(773) 785-9752,1723605
07/19/2022,PONT,4D,,GRN,CJ53404,IL,Chicago O'hare International Airport remote lot E.,(312) 746-6350,416354
08/14/2022,CHEV,4D,,SIL,R218644,IN,10300 S. Doty,(773) 568-8495,2936446
09/25/2022,CHEV,4H,,BLK,DM47531,IL,400 E. Lower Wacker,(312) 744-7550,0266389
09/21/2022,FORD,4D,,BLK,5EL8017,MA,701 N. Sacramento,(773) 265-7605,7039870
08/30/2022,CHEV,4D,,WHI,CS99577,IL,701 N. Sacramento,(773) 265-7605,7038243
09/08/2022,PONT,2D,,SIL,,IL,10300 S. Doty,(773) 568-8495,2937493
08/07/2022,KIA,4D,,GRY,6CLUB,IN,701 N. Sacramento,(773) 265-7605,7036893
09/02/2022,NISS,4D,,BLK,DE65114,IL,701 N. Sacramento,(773) 265-7605,7038475
08/30/2022,TOYT,2D,,WHI,CJ70905,IL,701 N. Sacramento,(773) 265-7605,7038244
09/08/2022,HOND,4D,,GRY,,IL,10300 S. Doty,(773) 568-8495,2937492
09/08/2022,HOND,LD,,GRY,HEF5055,OH,701 N. Sacramento,(773) 265-7605,7038887
07/23/2022,HYUN,LL,,SIL,901AA927,IL,10300 S. Doty,(773) 568-8495,2935235
08/11/2022,CHRY,4D,,WHI,,IL,701 N. Sacramento,(773) 265-7605,7037026
09/03/2022,,LL,,WHI,,IL,10300 S. Doty,(773) 568-8495,2937250
07/19/2022,CHEV,4D,,WHI,AQ81793,IL,Chicago O'hare International Airport remote lot E.,(312) 746-6350,416355
08/30/2022,DODG,LL,,GRY,DL62441,IL,10300 S. Doty,(773) 568-8495,2937079
08/30/2022,FORD,LL,,WHI,DJ14452,IL,10300 S. Doty,(773) 568-8495,2937082
09/08/2022,DODG,4D,,WHI,Y882280,IL,10300 S. Doty,(773) 568-8495,2937494
07/27/2022,NISS,4D,,BLK,DH73053,IL,701 N. Sacramento,(773) 265-7605,7036166
07/27/2022,CHEV,PK,,WHI,,IL,10300 S. Doty,(773) 785-9752,1723476
08/30/2022,DODG,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2937064
08/17/2022,KIA,4D,,BLK,Z476635,IL,10300 S. Doty,(773) 568-8495,2936572
08/17/2022,OLDS,4D,,WHI,CJ46559,IL,10300 S. Doty,(773) 568-8495,2936570
08/26/2022,AUDI,LL,,RED,DL3182,IL,10300 S. Doty,(773) 568-8495,0293690
09/02/2022,CHEV,4D,,BLU,WESS22,IL,701 N. Sacramento,(773) 265-7605,7038467
08/26/2022,HOND,4D,,RED,CS78599,IL,701 N. Sacramento,(773) 265-7605,7037969
